user_id,login_duration_hours,file_access_count,usb_plug_count,usb_total_duration_min,email_total_count,email_suspicious_count,email_suspicious_ratio,out_of_session_count,has_confidential,has_urgent,has_password,has_secret,has_invoice,has_transfer,is_red_team,anomaly_score
user_21,12.0,92,4,163,58,5,0.086,4,1,1,1,1,0,1,1,0.92
user_19,9.5,38,1,10,24,1,0.042,0,0,1,0,0,0,0,0,0.06
user_19,9.2,92,4,136,53,7,0.132,4,0,0,1,1,1,1,1,0.87
user_25,8.3,29,1,33,29,1,0.034,0,0,0,0,0,0,0,0,0.12
user_13,11.1,92,6,116,46,3,0.065,2,1,1,0,1,1,1,1,0.71
user_22,9.9,101,3,118,49,5,0.102,3,1,1,1,1,1,1,1,0.82
user_12,9.6,109,2,192,51,7,0.137,2,1,1,1,1,1,1,1,0.73
user_18,8.9,38,0,0,24,0,0.0,0,0,0,0,0,0,0,0,0.17
user_08,7.9,35,0,0,24,0,0.0,0,0,0,0,0,0,0,0,0.2
user_29,7.7,22,0,0,33,0,0.0,0,0,0,0,0,0,0,0,0.26
user_08,7.5,29,1,29,30,0,0.0,0,0,0,0,0,0,0,0,0.2
user_13,8.7,49,0,0,27,0,0.0,0,0,0,1,0,0,0,0,0.21
user_09,9.1,16,0,0,17,2,0.118,0,0,1,0,0,0,0,0,0.07
user_17,9.1,40,0,0,19,0,0.0,0,0,0,0,0,0,0,0,0.13
user_17,8.8,45,0,0,23,0,0.0,0,1,0,0,0,0,0,0,0.27
user_19,8.4,44,1,31,21,1,0.048,0,0,0,0,0,0,0,0,0.3
user_09,8.3,17,0,0,12,1,0.083,0,0,0,0,0,0,0,0,0.28
user_12,8.9,28,0,0,33,0,0.0,0,0,0,0,0,0,0,0,0.28
user_21,11.5,104,3,140,50,8,0.16,1,1,1,1,1,1,1,1,0.84
user_18,10.3,86,3,119,51,3,0.059,1,0,1,1,0,0,1,1,0.93
user_04,8.1,39,0,0,18,0,0.0,0,0,1,0,0,1,0,0,0.3
user_26,7.8,30,0,0,16,1,0.062,0,0,0,0,0,0,0,0,0.16
user_28,7.8,29,1,24,21,0,0.0,0,0,1,0,0,0,0,0,0.08
user_16,10.4,104,5,163,48,7,0.146,3,1,1,1,0,1,0,1,0.78
user_15,11.7,117,3,115,41,8,0.195,4,1,0,1,1,1,1,1,0.71
user_07,8.5,33,0,0,27,1,0.037,0,0,1,0,0,0,0,0,0.2
user_17,10.9,83,5,147,50,8,0.16,4,1,1,1,1,1,0,1,0.8
user_08,8.0,31,1,40,29,0,0.0,0,0,0,0,0,0,0,0,0.26
user_09,9.1,46,0,0,16,0,0.0,0,0,0,0,0,0,0,0,0.06
